timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,gyro_1,gyro_2,gyro_3,batt_1,batt_2,batt_3,drlref_1,drlref_2,delta_absolute_1,delta_absolute_2,delta_absolute_3,delta_absolute_4,theta_absolute_1,theta_absolute_2,theta_absolute_3,theta_absolute_4,alpha_absolute_1,alpha_absolute_2,alpha_absolute_3,alpha_absolute_4,beta_absolute_1,beta_absolute_2,beta_absolute_3,beta_absolute_4,gamma_absolute_1,gamma_absolute_2,gamma_absolute_3,gamma_absolute_4,delta_relative_1,delta_relative_2,delta_relative_3,delta_relative_4,theta_relative_1,theta_relative_2,theta_relative_3,theta_relative_4,alpha_relative_1,alpha_relative_2,alpha_relative_3,alpha_relative_4,beta_relative_1,beta_relative_2,beta_relative_3,beta_relative_4,gamma_relative_1,gamma_relative_2,gamma_relative_3,gamma_relative_4,delta_session_score_1,delta_session_score_2,delta_session_score_3,delta_session_score_4,theta_session_score_1,theta_session_score_2,theta_session_score_3,theta_session_score_4,alpha_session_score_1,alpha_session_score_2,alpha_session_score_3,alpha_session_score_4,beta_session_score_1,beta_session_score_2,beta_session_score_3,beta_session_score_4,gamma_session_score_1,gamma_session_score_2,gamma_session_score_3,gamma_session_score_4,blink,jaw_clench,hsi_precision_1,hsi_precision_2,hsi_precision_3,hsi_precision_4,note,recorder_info,config,device
1555003083.5749600,,,,,,,,,,,,,,,,1692307.75,1700366.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555003083.5756910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""{'libmuse_version': '6.42.0 API Version 9', 'recorder_key': 'InteraXon', 'recorder_name': 'com.interaxon.musedirect', 'recorder_version': '4'}""",,
1555003083.5799150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""{'os_type': 'iOS', 'os_version': '12.2', 'hardware_model_name': 'iPhone1', 'hardware_model_id': 'iPhone10,4', 'processor_name': 'ARM64 V8', 'processor_speed': 'Unknown', 'number_of_processors': 6, 'memory_size': '2086MB', 'bluetooth_version': '', 'time_zone': 'EDT', 'time_zone_offset_seconds': -14400}"""
1555003083.5800419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""{'mac_addr': '0055DAB0280C', 'serial_number': '2031-93DC-280C', 'preset': '21', 'model': 'MU_02', 'headband_name': 'Muse-280C', 'microcontroller_id': '03473530 31343934 004b0049', 'filters_enabled': False, 'notch_frequency_hz': 0, 'eeg_sample_frequency_hz': 4294967295, 'eeg_output_frequency_hz': 256, 'eeg_samples_bitwidth': 16, 'eeg_channel_count': 4, 'eeg_channel_layout': 'TP9 FP1 FP2 TP10', 'eeg_downsample': 4294967295, 'afe_gain': 2000.0, 'drlref_data_enabled': True, 'drlref_sample_frequency_hz': 16, 'acc_data_enabled': True, 'acc_sample_frequency_hz': 52, 'battery_data_enabled': True, 'battery_percent_remaining': 8000}""",
1555003083.6100738,,,,,,,,,,,,,,,,1692307.75,1700366.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555003083.6319697,,,,,,,,,,-5.81695556641,7.77587890625,18.5275268555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555003083.6321046,,,,,,,0.0288696289062,0.214172363281,0.9267578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555003083.6357088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1555003083.6357088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
1555003083.6358824,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.134959,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555003083.6359243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.0697919,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555003083.6359532,,,,,,,,,,,,,,,,,,0.0,0.114246,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555003083.6359804,,,,,,,,,,,,,,,,,,,,,,0.0,-0.447946,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1555003083.6360040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.587591,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
